datetime,open,high,low,close,volume
2025-05-29 02:00:00,3272.41,3276.27,3267.8,3271.58,9882
2025-05-29 03:00:00,3271.81,3287.37,3271.62,3286.52,10375
2025-05-29 04:00:00,3286.34,3289.28,3278.17,3281.68,8097
2025-05-29 05:00:00,3281.68,3283.14,3276.14,3282.0,7166
2025-05-29 06:00:00,3282.04,3300.71,3281.89,3296.59,11824
2025-05-29 07:00:00,3296.59,3305.39,3295.36,3299.69,10340
2025-05-29 08:00:00,3299.68,3317.39,3298.46,3316.46,17460
2025-05-29 09:00:00,3316.46,3321.87,3310.21,3312.54,23129
2025-05-29 10:00:00,3312.74,3319.4,3304.65,3310.18,20339
2025-05-29 11:00:00,3310.2,3321.84,3309.69,3321.56,12966
2025-05-29 12:00:00,3321.55,3331.03,3319.65,3322.16,13100
2025-05-29 13:00:00,3322.16,3324.41,3318.05,3324.17,10967
2025-05-29 14:00:00,3324.2,3325.74,3317.51,3321.22,10073
2025-05-29 15:00:00,3321.22,3321.45,3315.47,3316.55,10043
2025-05-29 16:00:00,3316.54,3318.22,3315.16,3317.39,3874
2025-05-29 18:00:00,3319.85,3320.82,3313.44,3314.08,4457
2025-05-29 19:00:00,3314.3,3317.06,3312.8,3315.36,4778
2025-05-29 20:00:00,3315.41,3318.66,3309.36,3312.41,9098
2025-05-29 21:00:00,3312.38,3322.63,3308.0,3309.74,13014
2025-05-29 22:00:00,3309.71,3312.06,3294.88,3297.19,14324
2025-05-29 23:00:00,3297.15,3302.2,3291.16,3294.39,10224
2025-05-30 00:00:00,3294.36,3296.36,3291.49,3296.21,6177
2025-05-30 01:00:00,3296.2,3304.87,3290.11,3303.67,9686
2025-05-30 02:00:00,3303.64,3304.21,3290.35,3301.75,10971
2025-05-30 03:00:00,3301.5,3301.51,3287.24,3294.94,11766
2025-05-30 04:00:00,3294.73,3299.14,3291.54,3295.65,9136
2025-05-30 05:00:00,3295.59,3299.18,3292.49,3295.46,7415
2025-05-30 06:00:00,3295.51,3300.48,3292.45,3295.18,6517
2025-05-30 07:00:00,3295.15,3297.23,3288.54,3293.88,8276
2025-05-30 08:00:00,3293.97,3306.78,3282.87,3303.91,22591
2025-05-30 09:00:00,3303.91,3308.19,3275.14,3276.61,21904
2025-05-30 10:00:00,3276.81,3287.25,3271.52,3282.61,24221
2025-05-30 11:00:00,3282.62,3292.73,3275.87,3288.51,19892
2025-05-30 12:00:00,3288.48,3295.73,3283.85,3293.21,15201
2025-05-30 13:00:00,3293.12,3294.72,3289.62,3290.88,9646
2025-05-30 14:00:00,3290.96,3295.06,3290.96,3293.74,7357
2025-05-30 15:00:00,3293.72,3295.04,3291.56,3294.79,8874
2025-05-30 16:00:00,3294.71,3295.71,3288.43,3289.44,4165
2025-06-01 18:00:00,3298.37,3314.97,3298.27,3312.98,8005
2025-06-01 19:00:00,3312.98,3316.54,3309.06,3310.1,5887
2025-06-01 20:00:00,3310.07,3314.86,3303.1,3311.19,11092
2025-06-01 21:00:00,3311.2,3313.62,3301.21,3303.54,11178
2025-06-01 22:00:00,3303.52,3311.47,3303.23,3307.22,10346
2025-06-01 23:00:00,3307.2,3308.8,3303.22,3308.58,9129
2025-06-02 00:00:00,3308.65,3318.09,3308.65,3313.81,9212
2025-06-02 01:00:00,3313.79,3325.68,3313.75,3323.61,9995
2025-06-02 02:00:00,3323.69,3345.32,3323.65,3344.32,14017
2025-06-02 03:00:00,3344.34,3358.94,3343.01,3352.4,18548
2025-06-02 04:00:00,3352.49,3356.28,3349.98,3351.91,10814
2025-06-02 05:00:00,3351.95,3352.33,3344.41,3348.26,11016
2025-06-02 06:00:00,3348.22,3351.37,3344.5,3348.53,11461
2025-06-02 07:00:00,3348.53,3360.11,3345.97,3356.15,12798
2025-06-02 08:00:00,3356.14,3363.49,3353.87,3355.38,15980
2025-06-02 09:00:00,3355.43,3376.06,3350.35,3370.78,21886
2025-06-02 10:00:00,3370.91,3378.8,3367.53,3375.94,24588
2025-06-02 11:00:00,3375.94,3378.84,3369.7,3374.21,15886
2025-06-02 12:00:00,3374.17,3379.24,3369.15,3371.49,13837
2025-06-02 13:00:00,3371.5,3375.87,3371.19,3374.37,11212
2025-06-02 14:00:00,3374.35,3380.01,3370.68,3379.15,9150
2025-06-02 15:00:00,3379.15,3382.21,3377.78,3381.45,9702
2025-06-02 16:00:00,3381.42,3382.74,3378.31,3381.49,5012
2025-06-02 18:00:00,3383.91,3391.32,3382.91,3389.9,5768
2025-06-02 19:00:00,3389.83,3392.02,3383.02,3387.32,5429
2025-06-02 20:00:00,3387.29,3388.56,3373.61,3375.67,10962
2025-06-02 21:00:00,3375.73,3375.92,3363.17,3372.61,20007
2025-06-02 22:00:00,3372.6,3377.91,3364.37,3368.76,15386
2025-06-02 23:00:00,3368.77,3369.53,3359.56,3360.86,11909
2025-06-03 00:00:00,3360.95,3365.03,3359.11,3362.59,8930
2025-06-03 01:00:00,3362.6,3367.7,3356.01,3364.99,12450
2025-06-03 02:00:00,3364.99,3367.23,3351.03,3358.75,12464
2025-06-03 03:00:00,3358.7,3361.14,3352.42,3359.5,12900
2025-06-03 04:00:00,3359.56,3364.74,3359.54,3361.19,10521
2025-06-03 05:00:00,3361.19,3362.65,3354.89,3356.78,9652
2025-06-03 06:00:00,3356.78,3358.55,3354.93,3355.45,8265
2025-06-03 07:00:00,3355.44,3360.37,3353.33,3359.14,9349
2025-06-03 08:00:00,3359.16,3363.15,3348.87,3359.34,16646
2025-06-03 09:00:00,3359.39,3362.96,3340.88,3345.35,20830
2025-06-03 10:00:00,3345.39,3350.03,3333.02,3346.38,23528
2025-06-03 11:00:00,3346.37,3351.43,3343.97,3350.19,14694
2025-06-03 12:00:00,3350.2,3353.45,3344.58,3348.42,10995
2025-06-03 13:00:00,3348.42,3354.5,3347.18,3353.0,9429
2025-06-03 14:00:00,3353.18,3353.73,3350.3,3353.46,6301
2025-06-03 15:00:00,3353.45,3355.38,3351.16,3352.51,7155
2025-06-03 16:00:00,3352.5,3355.26,3352.48,3353.3,3086
2025-06-03 18:00:00,3355.73,3358.42,3354.78,3357.1,3023
2025-06-03 19:00:00,3357.1,3361.54,3355.19,3359.8,3990
2025-06-03 20:00:00,3359.87,3360.05,3349.7,3350.09,11172
2025-06-03 21:00:00,3350.09,3372.24,3346.36,3370.62,16355
2025-06-03 22:00:00,3370.79,3372.49,3362.66,3365.4,11365
2025-06-03 23:00:00,3365.43,3367.45,3358.26,3359.06,9309
2025-06-04 00:00:00,3359.06,3361.38,3352.24,3354.66,10192
2025-06-04 01:00:00,3354.71,3356.35,3347.9,3350.94,12408
2025-06-04 02:00:00,3351.0,3358.39,3348.91,3355.61,12327
2025-06-04 03:00:00,3355.66,3365.13,3353.56,3354.6,11283
2025-06-04 04:00:00,3354.6,3364.21,3351.68,3362.69,11970
2025-06-04 05:00:00,3362.71,3364.97,3359.31,3362.92,9704
2025-06-04 06:00:00,3362.9,3363.93,3347.25,3350.78,11572
2025-06-04 07:00:00,3350.78,3351.89,3343.66,3346.53,11730
2025-06-04 08:00:00,3346.53,3360.73,3344.38,3358.85,20428
2025-06-04 09:00:00,3358.83,3362.67,3350.78,3352.75,17762
2025-06-04 10:00:00,3352.85,3384.61,3351.06,3377.4,24153
2025-06-04 11:00:00,3377.38,3378.95,3369.59,3371.62,13716
2025-06-04 12:00:00,3371.63,3376.21,3370.78,3374.94,8034
2025-06-04 13:00:00,3374.77,3380.8,3372.88,3379.08,6719
2025-06-04 14:00:00,3379.14,3382.06,3374.94,3376.12,5148
2025-06-04 15:00:00,3376.07,3376.22,3371.84,3373.49,6466
2025-06-04 16:00:00,3373.46,3374.94,3370.63,3373.65,3957
2025-06-04 18:00:00,3373.31,3375.82,3372.23,3373.43,2639
2025-06-04 19:00:00,3373.5,3378.91,3372.36,3378.01,3987
2025-06-04 20:00:00,3378.03,3381.68,3372.22,3380.23,9741
2025-06-04 21:00:00,3380.23,3384.08,3370.49,3373.78,12996
2025-06-04 22:00:00,3373.77,3375.08,3368.12,3370.8,8403
2025-06-04 23:00:00,3370.84,3377.29,3369.22,3369.63,7659
2025-06-05 00:00:00,3369.62,3372.46,3363.89,3368.37,8845
2025-06-05 01:00:00,3368.41,3369.63,3361.07,3364.21,8953
2025-06-05 02:00:00,3364.21,3369.92,3363.7,3365.86,7961
2025-06-05 03:00:00,3365.95,3374.38,3365.21,3371.18,7630
2025-06-05 04:00:00,3371.12,3376.88,3369.67,3375.12,6872
2025-06-05 05:00:00,3375.12,3391.28,3373.91,3389.51,16280
2025-06-05 06:00:00,3389.51,3400.34,3388.18,3399.84,12922
2025-06-05 07:00:00,3399.86,3403.46,3391.61,3392.15,13638
2025-06-05 08:00:00,3392.16,3400.06,3377.56,3383.03,19869
2025-06-05 09:00:00,3383.38,3388.35,3371.25,3378.08,31548
2025-06-05 10:00:00,3378.48,3383.1,3363.79,3367.55,28032
2025-06-05 11:00:00,3367.54,3373.03,3339.42,3344.7,27735
2025-06-05 12:00:00,3344.7,3356.38,3339.77,3353.97,16821
2025-06-05 13:00:00,3354.26,3354.71,3348.9,3353.81,11192
2025-06-05 14:00:00,3353.82,3356.0,3350.43,3353.45,9748
2025-06-05 15:00:00,3353.45,3361.31,3352.83,3356.51,14060
2025-06-05 16:00:00,3356.66,3357.75,3351.99,3352.56,4353
2025-06-05 18:00:00,3353.97,3363.5,3353.13,3358.94,6722
2025-06-05 19:00:00,3358.9,3362.54,3357.23,3361.75,3980
2025-06-05 20:00:00,3361.75,3364.03,3357.22,3359.26,7568
2025-06-05 21:00:00,3359.31,3368.52,3355.99,3363.67,13376
2025-06-05 22:00:00,3363.67,3366.38,3361.97,3363.92,12034
2025-06-05 23:00:00,3363.88,3371.77,3359.31,3369.64,10974
2025-06-06 00:00:00,3369.65,3374.47,3368.94,3373.53,7722
2025-06-06 01:00:00,3373.56,3375.49,3362.04,3365.9,12286
2025-06-06 02:00:00,3365.78,3366.96,3355.97,3360.66,12353
2025-06-06 03:00:00,3360.67,3362.31,3352.7,3359.36,10384
2025-06-06 04:00:00,3359.47,3367.66,3358.33,3365.29,9566
2025-06-06 05:00:00,3365.31,3365.31,3352.69,3356.65,8749
2025-06-06 06:00:00,3356.7,3360.78,3355.85,3360.56,6174
2025-06-06 07:00:00,3360.57,3364.24,3358.15,3358.21,8514
2025-06-06 08:00:00,3358.42,3364.16,3343.51,3353.24,24592
2025-06-06 09:00:00,3353.38,3360.86,3342.55,3343.12,30050
