XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/11/2025 06:00,4207.68,4215.51,4204.43,4214.41,673,0.16,
12/11/2025 05:00,4213.36,4216.32,4206.1,4207.46,-590,-0.14,
12/11/2025 04:00,4216.69,4218.37,4208.37,4213.38,-331,-0.08,
12/11/2025 03:00,4222.29,4225.01,4209.2,4216.7,-559,-0.13,
12/11/2025 02:00,4238.16,4240.78,4220.56,4222.45,-1571,-0.37,
12/11/2025 01:00,4237.12,4247.78,4232.92,4238.2,108,0.03,
12/11/2025 00:00,4232.33,4245.23,4231.35,4237.1,477,0.11,
12/10/2025 23:00,4229.64,4234.14,4224.09,4232.51,287,0.07,
12/10/2025 22:00,4228.39,4228.39,4228.39,4228.39,0,0.00,
12/10/2025 21:00,4229.73,4232.53,4221.3499999999995,4228.56,-117,-0.03,
12/10/2025 20:00,4216.42,4234.64,4211.09,4233.96,1754,0.41,
12/10/2025 19:00,4194.4,4219.77,4191.88,4195.81,141,0.03,
12/10/2025 18:00,4199.74,4200.75,4191.93,4194.34,-540,-0.13,
12/10/2025 17:00,4204.76,4204.78,4196.95,4199.73,-503,-0.12,
12/10/2025 16:00,4193.63,4205.05,4192.88,4204.83,1120,0.27,
12/10/2025 15:00,4192.45,4201.12,4188.81,4192.37,-8,0.00,
12/10/2025 14:00,4200.82,4206.92,4191.32,4195.87,-495,-0.12,
12/10/2025 13:00,4196.53,4204.8,4192.99,4200.83,430,0.10,
12/10/2025 12:00,4197.14,4201.99,4195.45,4196.15,-99,-0.02,
12/10/2025 11:00,4193.35,4197.67,4192.52,4197.31,396,0.09,
12/10/2025 10:00,4194.39,4196.27,4187.69,4193.33,-106,-0.03,
12/10/2025 09:00,4198.1,4200.64,4192.72,4194.43,-367,-0.09,
12/10/2025 08:00,4203.15,4206.47,4197.15,4198.11,-504,-0.12,
12/10/2025 07:00,4207.31,4209.35,4203.12,4203.26,-405,-0.10,
12/10/2025 06:00,4211.43,4211.55,4203.17,4207.37,-406,-0.10,
12/10/2025 05:00,4207.06,4214.32,4201.87,4211.44,438,0.10,
12/10/2025 04:00,4206.3,4209.63,4205.5,4207.06,76,0.02,
12/10/2025 03:00,4216.92,4217.1,4203.69,4206.31,-1061,-0.25,
12/10/2025 02:00,4213.75,4218.86,4211.61,4217.11,336,0.08,
12/10/2025 01:00,4208.46,4217.94,4206.92,4213.98,552,0.13,
12/10/2025 00:00,4210.91,4212.67,4206.98,4208.48,-243,-0.06,
12/09/2025 23:00,4209.56,4212.93,4207.79,4210.82,126,0.03,
12/09/2025 22:00,4208.15,4208.15,4208.14,4208.14,-1,0.00,
12/09/2025 21:00,4212.19,4212.92,4207.26,4208.32,-387,-0.09,
12/09/2025 20:00,4212.46,4216.1,4208.91,4212.23,-23,-0.01,
12/09/2025 19:00,4208.93,4214.43,4207.12,4212.47,354,0.08,
12/09/2025 18:00,4202.8,4209.65,4201.18,4208.95,615,0.15,
12/09/2025 17:00,4212.11,4216.32,4204.24,4206.8,-531,-0.13,
12/09/2025 16:00,4212.48,4220.44,4210.14,4216.2,372,0.09,
12/09/2025 15:00,4205,4208.58,4190.03,4205.51,51,0.01,
12/09/2025 14:00,4201.46,4208.24,4189.51,4206.05,459,0.11,
12/09/2025 13:00,4204.15,4208.5,4195.49,4202.03,-212,-0.05,
12/09/2025 12:00,4203.18,4207.44,4198.48,4204.31,113,0.03,
12/09/2025 11:00,4203.83,4206.38,4201.3,4203.19,-64,-0.02,
12/09/2025 10:00,4202.81,4208.41,4201.27,4203.78,97,0.02,
12/09/2025 09:00,4191.82,4212.49,4190.88,4202.86,1104,0.26,
12/09/2025 08:00,4182.45,4191.89,4182.45,4191.76,931,0.22,
12/09/2025 07:00,4181.99,4185.66,4176.13,4182.47,48,0.01,
12/09/2025 06:00,4179.96,4183.94,4170.1,4182.23,227,0.05,
12/09/2025 05:00,4186.98,4187.4,4178.04,4179.93,-705,-0.17,
12/09/2025 04:00,4194.6,4195.7,4184.67,4186.84,-776,-0.19,
12/09/2025 03:00,4189.87,4198.86,4189.87,4194.65,478,0.11,
12/09/2025 02:00,4196.21,4197.15,4186.06,4189.98,-623,-0.15,
12/09/2025 01:00,4190.52,4197.31,4189.03,4196.18,566,0.13,
12/09/2025 00:00,4194.78,4195.68,4189.92,4190.5,-428,-0.10,
12/08/2025 23:00,4191.09,4195.46,4190.54,4194.61,352,0.08,
12/08/2025 22:00,4190.51,4190.51,4190.51,4190.51,0,0.00,
12/08/2025 21:00,4191.66,4193.3,4188.2,4190.46,-120,-0.03,
12/08/2025 20:00,4186.91,4195.48,4184.97,4191.61,470,0.11,
12/08/2025 19:00,4187.18,4188.83,4184.15,4186.84,-34,-0.01,
12/08/2025 18:00,4195.07,4195.53,4184.42,4187.11,-796,-0.19,
12/08/2025 17:00,4191.55,4195.59,4185.43,4194.82,327,0.08,
12/08/2025 16:00,4183.01,4197.9,4176.84,4188.79,578,0.14,
12/08/2025 15:00,4196.66,4196.78,4175.75,4186.59,-1007,-0.24,
12/08/2025 14:00,4201.55,4211.56,4195.97,4208.34,679,0.16,
12/08/2025 13:00,4213.71,4214.7,4197.82,4201.78,-1193,-0.28,
12/08/2025 12:00,4208.59,4215.38,4208.59,4213.5,491,0.12,
12/08/2025 11:00,4203.63,4214.25,4199.72,4209.4,577,0.14,
12/08/2025 10:00,4208.09,4210.35,4200.88,4203.43,-466,-0.11,
12/08/2025 09:00,4209.37,4212.73,4204.22,4207.84,-153,-0.04,
12/08/2025 08:00,4206.96,4216.63,4203.23,4209.61,265,0.06,
12/08/2025 07:00,4216.9,4217.42,4206.39,4206.98,-992,-0.24,
12/08/2025 06:00,4216.91,4218.89,4212.19,4216.91,0,0.00,
12/08/2025 05:00,4208.61,4217.17,4204.61,4216.86,825,0.20,
12/08/2025 04:00,4210.01,4213.27,4207,4208.57,-144,-0.03,
12/08/2025 03:00,4208.4,4213.06,4206.58,4209.91,151,0.04,
12/08/2025 02:00,4201.21,4212.39,4198.55,4208.59,738,0.18,
12/08/2025 01:00,4210.65,4211.56,4197.41,4201.21,-944,-0.22,
12/08/2025 00:00,4201.71,4211.59,4199.49,4210.94,923,0.22,
12/07/2025 23:00,4196.08,4205.85,4194.08,4201.42,534,0.13,
12/05/2025 21:00,4202.2,4202.49,4191.87,4196.32,-588,-0.14,
12/05/2025 20:00,4207.67,4207.6900000000005,4199.27,4202.25,-542,-0.13,
12/05/2025 19:00,4208.76,4210.78,4202.39,4207.66,-110,-0.03,
12/05/2025 18:00,4217.68,4218.96,4206.92,4208.73,-895,-0.21,
12/05/2025 17:00,4209.49,4218.78,4209.46,4217.76,827,0.20,
12/05/2025 16:00,4237.51,4237.74,4236.79,4236.98,-53,-0.01,
12/05/2025 15:00,4242.13,4259.32,4234.02,4242.77,64,0.02,
12/05/2025 14:00,4234.45,4245.61,4228.16,4243.77,932,0.22,
