datetime,open,high,low,close,volume
2024.06.12 00:00,2313.86000,2314.25000,2312.24000,2312.62000,2939,0
2024.06.12 01:00,2312.68000,2315.28000,2312.23000,2314.89000,4965,0
2024.06.12 02:00,2314.88000,2317.66000,2313.72000,2314.74000,6829,0
2024.06.12 03:00,2314.74000,2315.32000,2311.07000,2314.46000,4772,0
2024.06.12 04:00,2314.46000,2315.66000,2310.74000,2312.71000,4585,0
2024.06.12 05:00,2312.69000,2315.31000,2312.14000,2313.97000,4588,0
2024.06.12 06:00,2313.97000,2314.68000,2312.22000,2313.39000,3100,0
2024.06.12 07:00,2313.37000,2314.67000,2312.16000,2312.82000,5689,0
2024.06.12 08:00,2312.79000,2337.58000,2311.52000,2335.88000,21240,0
2024.06.12 09:00,2335.90000,2341.54000,2324.92000,2329.77000,27112,0
2024.06.12 10:00,2329.72000,2329.83000,2320.01000,2325.21000,17123,0
2024.06.12 11:00,2325.23000,2337.09000,2324.59000,2335.51000,14961,0
2024.06.12 12:00,2335.51000,2338.08000,2333.05000,2337.58000,9103,0
2024.06.12 13:00,2337.59000,2339.48000,2332.80000,2334.15000,7521,0
2024.06.12 14:00,2334.26000,2334.26000,2319.36000,2322.69000,29206,0
2024.06.12 15:00,2322.68000,2324.54000,2315.76000,2321.20000,12210,0
2024.06.12 16:00,2321.40000,2324.64000,2320.26000,2324.17000,2699,0
2024.06.12 18:00,2324.74000,2324.94000,2321.66000,2321.91000,1554,0
2024.06.12 19:00,2321.89000,2322.32000,2320.13000,2320.51000,2136,0
2024.06.12 20:00,2320.51000,2322.84000,2317.56000,2320.69000,4688,0
2024.06.12 21:00,2320.69000,2321.45000,2308.08000,2312.61000,17039,0
2024.06.12 22:00,2312.62000,2316.00000,2310.58000,2314.07000,7166,0
2024.06.12 23:00,2314.04000,2316.24000,2312.52000,2314.16000,5587,0
2024.06.13 00:00,2314.17000,2314.75000,2308.97000,2311.75000,4184,0
2024.06.13 01:00,2311.75000,2312.19000,2308.89000,2311.55000,5522,0
2024.06.13 02:00,2311.54000,2316.09000,2311.10000,2315.58000,7424,0
2024.06.13 03:00,2315.52000,2318.51000,2313.22000,2317.00000,7211,0
2024.06.13 04:00,2316.99000,2317.17000,2313.90000,2315.50000,5553,0
2024.06.13 05:00,2315.50000,2318.39000,2313.33000,2315.44000,4518,0
2024.06.13 06:00,2315.42000,2319.92000,2315.24000,2316.28000,4764,0
2024.06.13 07:00,2316.30000,2316.60000,2303.77000,2306.92000,8664,0
2024.06.13 08:00,2306.95000,2326.57000,2304.67000,2323.23000,19396,0
2024.06.13 09:00,2323.23000,2324.66000,2308.23000,2310.64000,18361,0
2024.06.13 10:00,2310.65000,2314.33000,2305.61000,2313.51000,16617,0
2024.06.13 11:00,2313.61000,2316.93000,2297.70000,2298.89000,16775,0
2024.06.13 12:00,2298.88000,2300.27000,2295.49000,2299.20000,11647,0
