entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month,exit_month
2025-02-20 10:00:00,2025-02-21 14:00:00,LONG,RANGE,97374.00499999999,98539.17,True,False,False,True,TRAILING_SL,1.2461890282387726,1213.4641666666737,28.0,2025-02,2025-02
2025-02-20 13:00:00,2025-02-21 14:00:00,LONG,RANGE,97562.215,98539.17,True,False,False,True,TRAILING_SL,1.1473292110748723,1119.3597916666706,25.0,2025-02,2025-02
2025-02-20 14:00:00,2025-02-21 14:00:00,LONG,RANGE,96966.935,98539.17,True,False,False,True,TRAILING_SL,1.461328028982254,1417.0050000000033,24.0,2025-02,2025-02
2025-02-24 08:00:00,2025-02-24 16:00:00,SHORT,RANGE,95509.46500000001,94658.06,True,False,False,True,TRAILING_SL,1.1062673212545056,1056.5900000000097,8.0,2025-02,2025-02
2025-02-24 14:00:00,2025-02-24 23:00:00,SHORT,TREND,94674.41500000001,92611.26,True,False,False,True,TRAILING_SL,1.9783222320412643,1872.9650000000097,9.0,2025-02,2025-02
2025-02-25 08:00:00,2025-02-25 11:00:00,SHORT,TREND,89400.505,88150.1,True,False,False,True,TRAILING_SL,1.64047171769332,1466.5900000000024,3.0,2025-02,2025-02
2025-02-25 13:00:00,2025-02-25 15:00:00,SHORT,TREND,88826.085,87312.99,True,False,False,True,TRAILING_SL,1.7989479104026747,1597.9350000000038,2.0,2025-02,2025-02
2025-02-25 09:00:00,2025-02-25 16:00:00,SHORT,TREND,88303.705,87312.99,True,False,False,True,TRAILING_SL,1.5138039791195637,1336.745000000001,7.0,2025-02,2025-02
2025-02-25 10:00:00,2025-02-25 16:00:00,SHORT,TREND,88213.74500000001,87312.99,True,False,False,True,TRAILING_SL,1.4643579637164312,1291.7650000000053,6.0,2025-02,2025-02
2025-02-25 14:00:00,2025-02-26 15:00:00,SHORT,TREND,87157.225,86680.72,True,False,False,True,TRAILING_SL,1.2387209341126588,1079.6347916666718,25.0,2025-02,2025-02
2025-02-25 15:00:00,2025-02-26 15:00:00,SHORT,TREND,87231.235,86680.72,True,False,False,True,TRAILING_SL,1.280097662265131,1116.6450000000027,24.0,2025-02,2025-02
2025-02-26 13:00:00,2025-02-26 15:00:00,SHORT,RANGE,87191.96500000001,86259.72,True,False,False,True,TRAILING_SL,1.2581549228762166,1097.010000000008,2.0,2025-02,2025-02
2025-02-27 14:00:00,2025-02-27 20:00:00,SHORT,RANGE,84968.625,83557.49,True,False,False,True,TRAILING_SL,1.5728805779780481,1336.4550000000004,6.0,2025-02,2025-02
2025-03-03 14:00:00,2025-03-03 19:00:00,SHORT,RANGE,89278.85500000001,86396.45,True,True,False,True,TRAILING_SL,2.0593465272376164,1838.5610000000074,5.0,2025-03,2025-03
2025-03-05 10:00:00,2025-03-06 02:00:00,LONG,RANGE,89926.095,91159.0,True,False,False,True,TRAILING_SL,1.38707235091216,1247.3400000000024,16.0,2025-03,2025-03
2025-03-07 15:00:00,2025-03-07 17:00:00,SHORT,RANGE,88457.96500000001,87395.77,True,False,False,True,TRAILING_SL,1.3136013246517781,1161.9850000000065,2.0,2025-03,2025-03
2025-03-09 10:00:00,2025-03-09 15:00:00,SHORT,RANGE,84844.07500000001,83552.5,True,False,False,True,TRAILING_SL,1.5047308842721294,1276.6750000000088,5.0,2025-03,2025-03
2025-03-09 13:00:00,2025-03-09 18:00:00,SHORT,RANGE,83489.925,83064.0,True,False,False,True,TRAILING_SL,1.0107207546299801,843.8500000000045,5.0,2025-03,2025-03
2025-03-09 14:00:00,2025-03-09 18:00:00,SHORT,RANGE,83602.54500000001,83064.0,True,False,False,True,TRAILING_SL,1.07671363353832,900.1600000000093,4.0,2025-03,2025-03
2025-03-09 15:00:00,2025-03-09 22:00:00,SHORT,RANGE,83080.38500000001,81043.53,True,False,False,True,TRAILING_SL,1.9852038480563228,1649.315000000008,7.0,2025-03,2025-03
2025-03-10 08:00:00,2025-03-10 16:00:00,SHORT,RANGE,81350.43500000001,79833.1,True,True,False,True,TRAILING_SL,1.9244482220654453,1565.547000000006,8.0,2025-03,2025-03
2025-03-10 09:00:00,2025-03-10 16:00:00,SHORT,RANGE,82514.235,79833.1,True,True,False,True,TRAILING_SL,2.1793900167649904,1798.3070000000037,7.0,2025-03,2025-03
2025-03-10 10:00:00,2025-03-10 18:00:00,SHORT,TREND,82288.16500000001,78763.1,True,True,False,True,TRAILING_SL,3.1063920309804027,2556.193000000005,8.0,2025-03,2025-03
2025-03-10 13:00:00,2025-03-10 18:00:00,SHORT,TREND,81528.91500000001,78763.1,True,False,False,True,TRAILING_SL,2.7282283837580863,2224.295000000004,5.0,2025-03,2025-03
2025-03-10 14:00:00,2025-03-10 19:00:00,SHORT,TREND,79847.05500000001,78721.91,True,False,False,True,TRAILING_SL,1.7583115620231766,1403.960000000005,5.0,2025-03,2025-03
2025-03-11 15:00:00,2025-03-12 02:00:00,LONG,TREND,81232.265,82521.26,True,False,False,True,TRAILING_SL,1.829180806419716,1485.8850000000004,11.0,2025-03,2025-03
2025-03-15 14:00:00,2025-03-16 14:00:00,SHORT,RANGE,84131.725,83222.46,True,False,False,True,TRAILING_SL,1.2902623831854185,1085.5200000000025,24.0,2025-03,2025-03
2025-03-16 09:00:00,2025-03-16 14:00:00,SHORT,RANGE,83896.99500000001,83222.46,True,False,False,True,TRAILING_SL,1.1539805448335838,968.1550000000046,5.0,2025-03,2025-03
2025-03-23 13:00:00,2025-03-24 01:00:00,LONG,RANGE,85093.61499999999,85800.13,True,False,False,True,TRAILING_SL,1.1565438840505367,984.1450000000099,12.0,2025-03,2025-03
2025-03-23 15:00:00,2025-03-24 01:00:00,LONG,RANGE,85189.435,85800.13,True,False,False,True,TRAILING_SL,1.0990036499244378,936.2350000000065,10.0,2025-03,2025-03
2025-03-28 08:00:00,2025-03-28 22:00:00,SHORT,RANGE,85213.845,84426.0,True,False,False,True,TRAILING_SL,1.202633210600934,1024.8100000000036,14.0,2025-03,2025-03
